series,season,episode,title,url,rating,votes,date,stardate,director,writer,exact
TOS,2,13,Obsession,http://www.imdb.com/title/tt0708440/,7.3,577,15-Dec-67,3619.2,Ralph Senensky,Art Wallace,43
TOS,2,14,Wolf in the Fold,http://www.imdb.com/title/tt0708491/,7.4,646,22-Dec-67,3614.9,Joseph Pevney,Robert Bloch,44
TOS,2,15,The Trouble with Tribbles,http://www.imdb.com/title/tt0708480/,8.6,"1,019",29-Dec-67,4523.3,Joseph Pevney,David Gerrold,45
TOS,2,16,The Gamesters of Triskelion,http://www.imdb.com/title/tt0708466/,6.8,633,5-Jan-68,3211.7,Gene Nelson,Margaret Armen,46
TOS,2,17,A Piece of the Action,http://www.imdb.com/title/tt0708412/,7.8,712,12-Jan-68,4598,James Komack,David P. Harmon,47
TOS,2,18,The Immunity Syndrome,http://www.imdb.com/title/tt0708467/,7.4,596,19-Jan-68,4307.1,Joseph Pevney,Robert Sabaroff,48
TOS,2,19,A Private Little War,http://www.imdb.com/title/tt0708413/,6.9,571,2-Feb-68,4211.4,Marc Daniels,Jud Crucis,49
TOS,2,20,Return to Tomorrow,http://www.imdb.com/title/tt0708445/,7.5,584,9-Feb-68,4768.3,Ralph Senensky,John Kingsbridge,50
TOS,2,21,Patterns of Force,http://www.imdb.com/title/tt0708442/,7.5,649,16-Feb-68,2534,Vincent McEveety,John Meredyth Lucas,51
TOS,2,22,By Any Other Name,http://www.imdb.com/title/tt0708422/,7.6,631,23-Feb-68,4657.5,Marc Daniels,Jerome Bixby,52
TOS,2,23,The Omega Glory,http://www.imdb.com/title/tt0708474/,6.5,617,1-Mar-68,Unknown,Vincent McEveety,Gene Roddenberry,53
TOS,2,24,The Ultimate Computer,http://www.imdb.com/title/tt0708481/,7.9,624,8-Mar-68,4729.4,John Meredyth Lucas,Laurence N. Wolfe,54
TOS,2,25,Bread and Circuses,http://www.imdb.com/title/tt0708421/,7.2,626,15-Mar-68,4040.7,Ralph Senensky,Gene Roddenberry,55
TOS,2,26,Assignment: Earth,http://www.imdb.com/title/tt0708419/,7.6,691,29-Mar-68,Unknown,Marc Daniels,Gene Roddenberry,56
TOS,3,1,Spock's Brain,http://www.imdb.com/title/tt0708449/,5.6,668,20-Sep-68,5431.4,Marc Daniels,Lee Cronin,57
