series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TOS,1,16,The Galileo Seven,http://www.imdb.com/title/tt0708465/,7.6,808,5-Jan-67,2821.5,Robert Gist,Oliver Crawford,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,17,The Squire of Gothos,http://www.imdb.com/title/tt0708478/,7.6,803,12-Jan-67,2124.5,Don McDougall,Paul Schneider,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,18,Arena,http://www.imdb.com/title/tt0708418/,8,861,19-Jan-67,3045.6,Joseph Pevney,Fredric Brown,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,19,Tomorrow Is Yesterday,http://www.imdb.com/title/tt0708484/,7.9,809,26-Jan-67,3113.2,Michael O'Herlihy,D. C. Fontana,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,20,Court Martial,http://www.imdb.com/title/tt0708425/,7.3,753,2-Feb-67,2947.3,Marc Daniels,Don M. Mankiewicz,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,21,The Return of the Archons,http://www.imdb.com/title/tt0708476/,7.2,731,9-Feb-67,3156.2,Joseph Pevney,Gene Roddenberry,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,22,Space Seed,http://www.imdb.com/title/tt0708447/,8.6,"1,160",16-Feb-67,3141.9,Marc Daniels,Carey Wilber,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,23,A Taste of Armageddon,http://www.imdb.com/title/tt0708414/,8,791,23-Feb-67,3192.1,Joseph Pevney,Robert Hamner,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,24,This Side of Paradise,http://www.imdb.com/title/tt0708483/,7.9,777,2-Mar-67,3417.3_3417.7,Ralph Senensky,Nathan Butler,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,25,The Devil in the Dark,http://www.imdb.com/title/tt0708460/,8.3,849,9-Mar-67,3196.1,Joseph Pevney,Gene L. Coon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
TOS,1,26,Errand of Mercy,http://www.imdb.com/title/tt0708429/,8.1,770,23-Mar-67,3198.4,John Newland,Gene L. Coon,?,"William Shatner as Captain Kirk, Leonard Nimoy as Mr. Spock, DeForest Kelley as Dr. McCoy, James Doohan as Scott, Nichelle Nichols as Uhura, George Takei as Sulu, Majel Barrett as Chapel, Grace Lee Whitney as Janice Rand",?,,
