series,season,episode,title,imdb url,user rating,user votes,date,stardate,director,writer,featured characters,main cast,recurring cast,,
TNG,3,18,Allegiance,http://www.imdb.com/title/tt0708675/,7.4,593,26-Mar-90,43714.1,Winrich Kolbe,Richard Manning,Picard,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,19,Captain's Holiday,http://www.imdb.com/title/tt0708684/,7.2,609,2-Apr-90,43745.2,Chip Chalmers,Ira Steven Behr,"Picard, Vash","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,20,Tin Man,http://www.imdb.com/title/tt0708831/,7.3,587,23-Apr-90,43779.3,Robert Scheerer,Dennis Putman Bailey,Troi,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,21,Hollow Pursuits,http://www.imdb.com/title/tt0708729/,7.8,625,30-Apr-90,43807.4,Cliff Bole,Sally Caves,Barclay,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,22,The Most Toys,http://www.imdb.com/title/tt0708809/,7.6,614,7-May-90,43872.2,Timothy Bond,Shari Goodhartz,Data,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,23,Sarek,http://www.imdb.com/title/tt0708769/,8.1,636,14-May-90,43917.4,Les Landau,Marc Cushman,"Picard, Sarek","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,24,M_nage ˆ Troi,http://www.imdb.com/title/tt0708749/,6.8,552,28-May-90,43930.7,Robert Legato,Fred Bronson,"Riker, Troi, Lwaxana","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,25,Transfigurations,http://www.imdb.com/title/tt0708833/,7,534,4-Jun-90,43957.2,Tom Benko,Rene Echevarria,"Crusher, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,3,26,The Best of Both Worlds: Part 1,http://www.imdb.com/title/tt0708785/,8.6,"1,158",18-Jun-90,43989.1,Cliff Bole,Michael Piller,Various,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher","Colm Meaney as Chief Miles O'Brien, Whoopi Goldberg as Guinan, Andreas Katsulas as Tomalak, Julie Warner as Christy Henshaw, Majel Barrett as Lwaxana Troi, Charles Cooper as K'mpec, Frank Corsentino as Damon Tog, Denise Crosby as Lt. Tasha Yar, Elizabeth Dennehy as Lt. Commander Elizabeth Shelby, Susan Gibney as Dr. Leah Brahms, Jennifer Hetrick as Vash, John de Lancie as Q, Mark Lenard as Sarek, Patrick Massett as Duras, Dwight Schultz as Lt. Reginald Barclay, Carel Struycken as Mr. Homn, Tony Todd as Kurn",,
TNG,4,1,The Best of Both Worlds: Part 2,http://www.imdb.com/title/tt0708786/,8.6,"1,035",24-Sep-90,44001.4,Cliff Bole,Michael Piller,Various,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,2,Family,http://www.imdb.com/title/tt0708713/,7.9,717,1-Oct-90,44012.3,Les Landau,Ronald D. Moore,"Picard, Worf","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,3,Brothers,http://www.imdb.com/title/tt0708683/,7.7,582,8-Oct-90,44085.7,Rob Bowman,Ralph Phillips,"Data, Lore","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,4,Suddenly Human,http://www.imdb.com/title/tt0708779/,6.5,549,15-Oct-90,Unknown,Gabrielle Beaumont,Ralph Phillips,"Picard, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,5,Remember Me,http://www.imdb.com/title/tt0708765/,7.8,638,22-Oct-90,44161.2,Cliff Bole,Lee Sheldon,Crusher,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,6,Legacy,http://www.imdb.com/title/tt0708740/,6.8,551,29-Oct-90,44215.2,Robert Scheerer,Joe Menosky,"Data, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,7,Reunion,http://www.imdb.com/title/tt0708766/,8.3,618,5-Nov-90,44246.3,Jonathan Frakes,Drew Deighan,"Picard, Worf","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,8,Future Imperfect,http://www.imdb.com/title/tt0708719/,7.8,612,12-Nov-90,44286.5,Les Landau,J. Larry Carroll,Riker,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,9,Final Mission,http://www.imdb.com/title/tt0708714/,6.9,550,19-Nov-90,44307.3,Corey Allen,Kacey Arnold-Ince,"Picard, Wesley","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,10,The Loss,http://www.imdb.com/title/tt0708805/,6.2,518,31-Dec-90,44356.9,Chip Chalmers,Hilary J. Bader,Troi,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,11,Data's Day,http://www.imdb.com/title/tt0708697/,8.1,629,7-Jan-91,44390.1,Robert Wiemer,Harold Apter,"Data, O'Brien, Keiko","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,12,The Wounded,http://www.imdb.com/title/tt0708825/,8,592,28-Jan-91,44429.6,Chip Chalmers,Stuart Charno,"Picard, O'Brien, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,13,Devil's Due,http://www.imdb.com/title/tt0708702/,7.2,585,4-Feb-91,44474.5,Tom Benko,Philip LaZebnik,"Picard, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,14,Clues,http://www.imdb.com/title/tt0708688/,8.2,653,11-Feb-91,44502.7,Les Landau,Bruce D. Arthurs,Various,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,15,First Contact,http://www.imdb.com/title/tt0708715/,7.9,591,18-Feb-91,44575.2,Cliff Bole,Marc Scott Zicree,Riker,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,16,Galaxy's Child,http://www.imdb.com/title/tt0708720/,7.2,550,11-Mar-91,44614.6,Winrich Kolbe,Thomas Kartozian,LaForge,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,17,Night Terrors,http://www.imdb.com/title/tt0708751/,7.2,567,18-Mar-91,44631.2,Les Landau,Shari Goodhartz,Various,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,18,Identity Crisis,http://www.imdb.com/title/tt0708733/,6.7,529,25-Mar-91,44664.5,Winrich Kolbe,Timothy DeHaas,LaForge,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,19,The Nth Degree,http://www.imdb.com/title/tt0708813/,7.9,597,1-Apr-91,44704.2,Robert Legato,Joe Menosky,Barclay,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,20,Qpid,http://www.imdb.com/title/tt0708759/,7.4,590,22-Apr-91,44741.9,Cliff Bole,Randee Russell,"Picard, Vash, Q","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,21,The Drumhead,http://www.imdb.com/title/tt0708793/,8.1,661,29-Apr-91,44769.2,Jonathan Frakes,Jeri Taylor,Picard,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,22,Half a Life,http://www.imdb.com/title/tt0708724/,7.2,531,6-May-91,44805.3,Les Landau,Ted Roberts,Lwaxana,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,23,The Host,http://www.imdb.com/title/tt0708800/,6.7,508,13-May-91,44821.3,Marvin V. Rush,Michel Horvat,Crusher,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,24,The Mind's Eye,http://www.imdb.com/title/tt0708808/,7.7,520,27-May-91,44885.5,David Livingston,Ken Schafer,LaForge,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,25,In Theory,http://www.imdb.com/title/tt0708735/,7.2,544,3-Jun-91,44932.3,Patrick Stewart,Joe Menosky,Data,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,4,26,Redemption,http://www.imdb.com/title/tt0708762/,8.3,582,17-Jun-91,44995.3,Cliff Bole,Ronald D. Moore,"Picard, Worf, Gowron","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,1,Redemption II,http://www.imdb.com/title/tt0170501/,8.2,573,23-Sep-91,45021.3,David Carson,Ronald D. Moore,"Picard, Data, Worf, Sela, Gowron","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,2,Darmok,http://www.imdb.com/title/tt0708696/,8.4,819,30-Sep-91,45047.2,Winrich Kolbe,Philip LaZebnik,Picard,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,3,Ensign Ro,http://www.imdb.com/title/tt0708708/,7.8,544,7-Oct-91,45076.3,Les Landau,Rick Berman,"Picard, Ro","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,4,Silicon Avatar,http://www.imdb.com/title/tt0708774/,7.2,513,14-Oct-91,45122.3,Cliff Bole,Lawrence V. Conley,Data,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,5,Disaster,http://www.imdb.com/title/tt0708703/,7.7,596,21-Oct-91,45156.1,Gabrielle Beaumont,Ron Jarvis,Various,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,6,The Game,http://www.imdb.com/title/tt0708798/,7.4,620,28-Oct-91,45208.2,Corey Allen,Susan Sackett,"Wesley, Guest","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,7,Unification I,http://www.imdb.com/title/tt0708835/,8.2,591,4-Nov-91,45233.1,Les Landau,Rick Berman,"Picard, Data, Sarek","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,8,Unification II,http://www.imdb.com/title/tt0708836/,8.3,582,11-Nov-91,45245.8,Cliff Bole,Rick Berman,"Picard, Data, Spock, Sela","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,9,A Matter of Time,http://www.imdb.com/title/tt0708672/,7.3,531,18-Nov-91,45349.1,Paul Lynch,Rick Berman,Guest,"Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
TNG,5,10,New Ground,http://www.imdb.com/title/tt0708750/,6.6,468,6-Jan-92,45376.3,Robert Scheerer,Sara Charno,"Worf, Alexander","Patrick Stewart as Captain Jean Luc Picard, Jonathan Frakes as Commander William T. Riker, Brent Spiner as Lt Cmdr. Data, Gates McFadden as Dr. Beverly Crusher, LeVar Burton as Lt Cmdr. Geordi La Forge, Marina Sirtis as Councillor Deanna Troi, Michael Dorn as Lt. Worf, Wil Wheaton as Ens. Wesley Crusher",?,,
